id,price
0,863
1,6648
2,802
3,863
4,863
5,8736
6,552
7,666
8,844
9,11988
10,828
11,802
12,789
13,1061
14,450
15,863
16,552
17,828
18,5292
19,505
20,5292
21,3669
22,863
23,8736
24,828
25,5219
26,863
27,8736
28,658
29,844
30,3007
31,734
32,828
33,552
34,1061
35,12308
36,863
37,475
38,552
39,984
40,450
41,5292
42,3007
43,891
44,3669
45,4899
46,3669
47,5292
48,421
49,5219
50,828
51,6290
52,844
53,4155
54,734
55,6290
56,552
57,720
58,475
59,1436
60,828
61,828
62,828
63,5292
64,3007
65,828
66,802
67,789
68,734
69,552
70,1061
71,12308
72,421
73,552
74,984
75,1061
76,844
77,12308
78,863
79,891
80,475
81,450
82,8736
83,844
84,789
85,552
86,1415
87,589
88,5292
89,6048
90,863
91,574
92,844
93,5219
94,789
95,658
96,802
97,3669
98,552
99,4327
100,6048
101,8736
102,12907
103,3669
104,11988
105,552
106,475
107,1061
108,11560
109,863
110,421
111,4327
112,4155
113,802
114,4155
115,720
116,552
117,802
118,666
119,1436
120,863
121,891
122,16900
123,8736
124,6290
125,863
126,552
127,802
128,891
129,844
130,4155
131,863
132,4764
133,844
134,5292
135,789
136,12308
137,15917
138,789
139,8736
140,421
141,5292
142,827
143,13135
144,863
145,1436
146,666
147,863
148,3007
149,828
150,891
151,8736
152,863
153,421
154,789
155,589
156,828
157,863
158,552
159,984
160,863
161,1436
162,828
163,828
164,720
165,11560
166,658
167,863
168,12308
169,984
170,4155
171,589
172,544
173,1436
174,4788
175,1607
176,984
177,5292
178,5292
179,789
180,8736
181,552
182,16900
183,863
184,450
185,3669
186,802
187,984
188,1061
189,863
190,1781
191,475
192,863
193,5292
194,421
195,1061
196,6108
197,844
198,666
199,698
200,3669
201,984
202,844
203,552
204,12308
205,666
206,11646
207,9850
208,4155
209,828
210,3669
211,421
212,1607
213,1436
214,552
215,5219
216,1436
217,552
218,1746
219,720
220,1061
221,828
222,544
223,4155
224,1415
225,863
226,1061
227,3478
228,552
229,5219
230,6774
231,3669
232,802
233,552
234,421
235,552
236,891
237,552
238,827
239,8637
240,789
241,5292
242,8736
243,13135
244,720
245,984
246,11646
247,4155
248,789
249,828
250,421
251,589
252,828
253,5292
254,15917
255,8736
256,4788
257,828
258,4155
259,589
260,844
261,8736
262,11646
263,863
264,666
265,827
266,552
267,552
268,844
269,3007
270,666
271,1436
272,3669
273,1415
