id,price
0,1152
1,6108
2,872
3,3710
4,899
5,6854
6,878
7,1046
8,776
9,18242
10,421
11,544
12,789
13,1746
14,3089
15,1845
16,705
17,936
18,5599
19,1079
20,9658
21,4022
22,1919
23,12907
24,765
25,5602
26,1944
27,9416
28,419
29,658
30,7528
31,776
32,576
33,886
34,1107
35,13420
36,1152
37,477
38,552
39,2381
40,5555
41,5543
42,6618
43,3284
44,8181
45,11560
46,4455
47,4980
48,1436
49,9942
50,466
51,6817
52,658
53,7056
54,878
55,6720
56,709
57,505
58,969
59,2487
60,645
61,844
62,525
63,5292
64,5197
65,764
66,489
67,764
68,878
69,574
70,1845
71,11268
72,421
73,756
74,6666
75,1436
76,911
77,9847
78,2327
79,4645
80,1441
81,1687
82,3615
83,776
84,764
85,1079
86,3734
87,464
88,4874
89,2552
90,891
91,899
92,658
93,5197
94,5539
95,419
96,776
97,10463
98,485
99,5701
100,6386
101,16064
102,4327
103,16716
104,11988
105,447
106,475
107,488
108,8214
109,3759
110,5499
111,7416
112,3959
113,710
114,8669
115,1436
116,1436
117,911
118,891
119,2301
120,3180
121,2680
122,18741
123,13007
124,6543
125,477
126,675
127,802
128,12291
129,776
130,4327
131,1153
132,10304
133,734
134,3907
135,665
136,3685
137,12338
138,837
139,5412
140,1187
141,5543
142,899
143,11605
144,1179
145,444
146,899
147,1067
148,3264
149,1781
150,7393
151,5828
152,4686
153,683
154,734
155,464
156,1107
157,1125
158,969
159,1629
160,1781
161,4136
162,1107
163,1192
164,709
165,3447
166,530
167,1152
168,12308
169,1438
170,4327
171,1255
172,776
173,2263
174,3734
175,3591
176,6618
177,4478
178,5292
179,789
180,15281
181,589
182,6588
183,1125
184,703
185,14080
186,1436
187,1115
188,1843
189,703
190,5260
191,477
192,886
193,10020
194,4995
195,488
196,12756
197,658
198,1221
199,684
200,4468
201,5967
202,844
203,969
204,4327
205,816
206,11560
207,12078
208,4327
209,645
210,4234
211,3615
212,7528
213,13211
214,720
215,7987
216,2883
217,878
218,1559
219,776
220,1107
221,1107
222,911
223,15708
224,1145
225,5177
226,1107
227,4686
228,709
229,16718
230,4686
231,3959
232,776
233,475
234,1197
235,1436
236,4038
237,837
238,506
239,13063
240,732
241,5466
242,6237
243,6295
244,710
245,1179
246,11820
247,4038
248,394
249,1153
250,3950
251,684
252,1061
253,3447
254,13117
255,8014
256,13764
257,645
258,6499
259,432
260,720
261,10701
262,9658
263,1192
264,489
265,1179
266,709
267,421
268,844
269,5197
270,1436
271,4669
272,4478
273,5443
274,891
275,419
276,814
277,936
278,4208
279,3818
280,884
281,625
282,3720
283,854
284,544
285,12210
286,473
287,9467
288,11863
289,1153
290,776
291,374
292,1221
293,5177
294,12644
295,789
296,8930
297,4501
298,5499
299,1436
300,5539
301,505
302,402
303,5488
304,4022
305,14105
306,9530
307,4959
308,734
309,5555
310,972
311,608
312,3336
313,16406
314,3950
315,3950
316,6606
317,15231
318,6818
319,886
320,13595
321,13757
322,6618
323,1046
324,776
325,16064
326,552
327,1069
328,3639
329,734
330,3387
331,847
332,765
333,658
334,4478
335,720
336,1004
337,878
338,1295
339,5443
340,13007
341,13595
342,506
343,2680
344,1781
345,4477
346,1187
347,1153
348,14542
349,8524
350,9343
351,5197
352,814
353,3511
354,891
355,4071
356,764
357,3593
358,3375
359,3541
360,1197
361,506
362,1781
363,473
364,776
365,3907
366,473
367,3704
368,1911
369,2821
370,969
371,1255
372,473
373,1192
374,530
375,5316
376,658
377,612
378,5292
379,1179
380,789
381,3416
382,13420
383,878
384,666
385,477
386,3149
387,776
388,7416
389,13135
390,789
391,14482
392,4980
393,1845
394,3959
395,3314
396,4967
397,3447
398,3754
399,1911
400,1963
401,1050
402,5499
403,622
404,489
405,3246
406,703
407,1153
408,419
409,6648
410,6499
411,1069
412,344
413,4562
414,11560
415,5555
416,854
417,891
418,886
419,3447
420,936
421,776
422,5197
423,14482
424,2478
425,4327
426,4679
427,2140
428,1656
429,709
430,709
431,737
432,4038
433,1061
434,3447
435,4980
436,802
437,2700
438,8349
439,878
440,3759
441,5412
442,473
443,789
444,891
445,2150
446,2478
447,15729
448,918
449,969
450,1197
451,11435
452,540
453,574
454,11175
455,4038
456,878
457,2358
458,5599
459,1340
460,5484
461,1781
462,709
463,5412
464,4022
465,3704
466,7308
467,2141
468,776
469,475
470,8243
471,11113
472,13945
473,12078
474,2648
475,9248
476,7276
477,1192
478,734
479,9343
480,1746
481,2498
482,537
483,878
484,4751
485,506
486,665
487,462
488,5543
489,1439
490,683
491,475
492,3997
493,8279
494,15729
495,593
496,1175
497,756
498,8014
499,802
500,2925
501,1076
502,961
503,5219
504,4327
505,8486
506,373
507,5134
508,891
509,4686
510,3066
511,2091
512,3599
513,544
514,4256
515,525
516,8039
517,1152
518,5376
519,6606
520,8975
521,658
522,506
523,4679
524,8691
525,878
526,709
527,576
528,1192
529,936
530,4478
531,5292
532,8524
533,8104
534,1911
535,899
536,485
537,5935
538,658
539,3148
540,789
541,996
542,3720
543,683
544,1061
545,4980
546,6804
547,2048
548,3579
549,5376
550,18128
551,1781
552,4478
553,1919
554,10868
555,789
556,6596
557,645
558,3759
559,5345
560,709
561,3045
562,8014
563,878
564,1079
565,15917
566,1197
567,789
568,3180
569,3054
570,684
571,489
572,11212
573,3759
574,1919
575,625
576,421
577,899
578,5083
579,6290
580,886
581,10982
582,496
583,1919
584,625
585,6133
586,18306
587,878
588,1221
589,612
590,5775
591,10184
592,8014
593,5412
594,969
595,658
596,4918
597,473
598,1243
599,4995
600,658
601,684
602,703
603,11212
604,789
605,1197
606,3411
607,5197
608,17597
609,550
610,13595
611,18112
612,4786
613,789
614,776
615,5292
616,5197
617,720
618,2003
619,489
620,3959
621,5260
622,7032
623,605
624,844
625,5757
626,12271
627,12179
628,6618
629,625
630,1656
631,9131
632,986
633,709
634,673
635,1944
636,1874
637,1436
638,3264
639,447
640,12078
641,7416
642,732
643,4997
644,15939
645,6271
646,5193
647,4686
648,4268
649,3007
650,5880
651,1050
652,675
653,1107
654,625
655,1061
656,8011
657,5757
658,776
659,5376
660,506
661,489
662,953
663,561
664,4751
665,9343
666,5555
667,3054
668,1919
669,1107
670,16704
671,1192
672,13506
673,10644
674,421
675,776
676,3431
677,3656
678,878
679,776
680,1436
681,844
682,1107
683,3431
684,11263
685,11405
686,596
687,2327
688,5555
689,918
690,814
691,3685
692,3715
693,17068
694,1107
695,776
696,5292
697,3369
698,447
699,891
700,4901
701,734
702,3264
703,814
704,14105
705,12811
706,1061
707,5602
708,814
709,4468
710,1919
711,4327
712,1197
713,911
714,475
715,645
716,6618
717,2330
718,3818
719,1153
720,891
721,10304
722,3907
723,1742
724,530
725,891
726,3589
727,3180
728,3704
729,5189
730,13725
731,4751
732,911
733,2037
734,13464
735,2048
736,705
737,1781
738,1153
739,5499
740,969
741,1153
742,5499
743,4497
744,12542
745,557
746,6618
747,891
748,911
749,3734
750,583
751,709
752,3959
753,4497
754,4210
755,2920
756,5394
757,5599
758,2263
759,4686
760,6817
761,3759
762,3790
763,3950
764,2715
765,1046
766,969
767,625
768,5376
769,18124
770,4208
771,477
772,5189
773,5293
774,3447
775,3149
776,3720
777,1153
778,2263
779,683
780,4226
781,14709
782,4679
783,3180
784,3368
785,6055
786,891
787,5833
788,6606
789,394
790,1061
791,899
792,1115
793,12308
794,2648
795,878
796,710
797,5197
798,8396
799,475
800,1046
801,10258
802,5500
803,11565
804,645
805,7066
806,7665
807,368
808,5466
809,1963
810,3759
811,2352
812,969
813,1970
814,1192
815,645
816,2586
817,2873
818,14918
819,7332
820,8524
821,8712
822,628
823,9802
824,15528
825,8227
826,776
827,4253
828,878
829,1046
830,658
831,878
832,1919
833,373
834,477
835,16900
836,4751
837,571
838,884
839,1192
840,5602
